question,label
"Internet mati nih",Problem
"Harga STB berapa ya?",Information
"Internet saya putus sambung",Problem
"Mengapa saya tidak dapat mengisi formulir relokasi? setelah disubmit hanya blank",Problem
"mengapa ketika ingin melakukan pembayaran tidak dapat diproses?",Problem
"bisa dibantu informasikan prosedur pergantian paket layanan?",Information
"apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?",Request
"apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?",Information
"Internet mati",Problem
"apakah order promo bisa diproses berkali-kali?",Information
"Internet saya mati min dari semalam",Problem
"sudah dicoba restart tapi masih sama",Problem
"apa saja syarat untuk pergantian nama akun biznet?",Information
"berapa lama proses pergantian nama akun biznet?",Information
"apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?",Information
"saya mau pasang baru",Request
"Ingin pasang baru",Request
"apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?",Information
"Ingin pasang baru di jonggol paket 0d",Request
"bogor gunung putri",Request
"boleh bantu ke cs ya",Request
"Perum BDB 2 blok AS 12A rt 06 rw 13",Request
"syarat relokasi apa saja?",Information
"cara mengecek cakupan area melalui apa ya?",Information
"proses relokasi berapa lama?",Information
"bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?",Information
"bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?",Information
"setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi?",Information
"jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?",Information
"bilamana kedepannnya saya ingin berlangganan kembali apakah bisa menggunakan akun yang sebelumnya?",Information
"apakah bisa freeze akun?",Information
"apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?",Information
"jika saya tidak melakukan pembayaran sebulan apakah dikenakan pinalti?",Information
"bagaimana cara pendaftaran kartu kredit?",Information
"apa saja paket yang tersedia di biznet?",Information
"bagaimana cara beli modem?",Information
"ini kenapa ya los merah menyala pada modem saya?",Problem
"bisa dicek ID pelanggan 1000308564 los meah menyala sejak pagi?",Request
"los merah menyala sejak pagi",Problem
"pada modem saya lampu merah menyala sejak pagi, bisa dicek?",Request
"apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?",Information
